,,,,,,
,L set,,Number of known algs :,,0/72,
,L6: Same/Adjacent,,"R U2 R D R' U2 R D' R2
[U2] l U R' D R U2 R' D' R U R'",Same as the 1st one,FALSE,
,,,"[U'] R' F' R U R' U' R' F R2 U' R' U2 R
R U2 R D r' U2 r D' R2","R' U' R U2 L' U R' U' L U' R
[U] F U' R' U' R U F' U2 R' U2 R
Same as the last one ",FALSE,
,,,"[U] R U2 R' U' R2 D R' U' R D' R2'
[U] R U2 R2' D' R U' R' D R2 U' R'
[U] R U R' U' R U R2' D' R U R' D R2 U' R'","[U] R U2 R2 D' R U' R' D R2 U' R'
[U'] R' D' r U2 r' D R U2 R U R'
F R U R' U' R' F' R U R U R' U' R U' R'",FALSE,
,,,"[U'] R' D' R U2 R' D R U R U2 R' U R U R'
[U] r' F R F' r U R2 U2 R U R' U R
[U2] R U2 R' U' R' F R F' r U' r' U r U r'","R U R' U R U2 R' U R' U L U' R U L' / r'
R U R' U R U2 R' U' z U' R D R' U R u' / D'
[U] z U' R z' R U' L U R2 U2 R U R' U R",FALSE,
,,,"R D2 r' U' r D2 R2 F' R U2 R' F R
[U] R U R' U2 R U R2' D' r U2 r' D R2 U' R'","[U] F R U R' U' R' F' U' R U R U' R' U' R' U R
[U'] R' U2 R' U' R' U R2 D' R U' R' D R' U' R
[U] R U R' U2 R U R2 D' r U2 r' D R2 U' R'
L' R' U2 R U' R' z U R U' R U z' U' R U R' U2 R",FALSE,
,,,[U] R' F' R U2 R U2 R' F U' R U R' U' R U' R',R' U' R U R' U R U' L U' R' U z U' R D,FALSE,
,,,"[U] R U R' U R U R' U2 R' D' r U2 r' D R
[U] R U R' U R U' R2 D' R U' R' D R2 U' R' U R U' R'
R' U' R U2 R' U' R (U' D') R U2 R' U R U R' D",R' U' R U2 R' U' R U2 y R U2 R' U R U R',FALSE,
,,,"R' U R' D' R U R' U2 R U R' (U D) R U' R
[U'] F2 U' F R2 u R' U R U' R u' R2' F
[U] R U R2' D' r U2 r' D R2 U' R' U' R U2 R'","Same as the 1st one
R U R2 D' r U2 r' D R2 U' R' U' R U2 R'",FALSE,
,,,"R U2 R' U2 R U R2 D' R U2 R' D R2 U2 R'
F R' F' r U' R' D' R U' R' D R U' R U' r'","R' U2 R U R' L U' R U L' U R' U' R U' R' U R
[U2] R U R' U R' U' R2 U' R' U' L' U R' U' L U' R
R' U2 R F U R' U' R F' U2 R' U' R U' R' U R",FALSE,
,,,"[U2] R' F' R U R' U' R' F D' R U' R' D R2 U R' U R
[U2] F U' R U R' U R' U2 R U R' U R2 U' R' U F'","[U] R L' U R' U' L U R U R' U' R U R' U' R U' R'
[U2] R' U2 R U F R' U R U' F' R' U' R U' R' U2 R",FALSE,
,,,[U] R U R' U R U2 R D R' U2 R D' R' U2 R' ,"[U'] R' U2 R U R' U R U2 R' U L U' R U L' / r'
[U'] R' U2 R U R' U R z U' R D R' U R u' / D'",FALSE,
,,,R U' R2' D' R U' R' D R U2 R U' R' U' R U R',"R U' R2 D' R U' R' D R U2 R U' R' U' R U R'
L U' R U L' U' R' U R U' R' U R U' R' U' R U R'",FALSE,
